data,valor_brl,valor_usd,commodity,regiao,__fonte__
2006-04-28,27.67,13.26,SOJA,PRG,CEPEA
2006-05-02,15.37,7.46,MILHO,BRASIL,CEPEA
2006-05-02,25.46,12.36,SOJA,PR,CEPEA
2006-05-02,27.59,13.39,SOJA,PRG,CEPEA
2006-05-03,15.30,7.37,MILHO,BRASIL,CEPEA
2006-05-03,25.42,12.25,SOJA,PR,CEPEA
2006-05-03,27.58,13.29,SOJA,PRG,CEPEA
2006-05-04,15.21,7.35,MILHO,BRASIL,CEPEA
2006-05-04,25.48,12.30,SOJA,PR,CEPEA
2006-05-04,27.82,13.43,SOJA,PRG,CEPEA
2006-05-05,15.19,7.39,MILHO,BRASIL,CEPEA
2006-05-05,25.54,12.43,SOJA,PR,CEPEA
2006-05-05,27.76,13.51,SOJA,PRG,CEPEA
2006-05-08,15.14,7.31,MILHO,BRASIL,CEPEA
2006-05-08,25.24,12.19,SOJA,PR,CEPEA
2006-05-08,27.28,13.18,SOJA,PRG,CEPEA
2006-05-09,15.07,7.31,MILHO,BRASIL,CEPEA
2006-05-09,25.59,12.42,SOJA,PR,CEPEA
2006-05-09,27.86,13.52,SOJA,PRG,CEPEA
2006-05-10,15.06,7.31,MILHO,BRASIL,CEPEA
2006-05-10,25.80,12.52,SOJA,PR,CEPEA
2006-05-10,28.13,13.65,SOJA,PRG,CEPEA
2006-05-11,15.01,7.15,MILHO,BRASIL,CEPEA
2006-05-11,25.98,12.37,SOJA,PR,CEPEA
2006-05-11,28.36,13.50,SOJA,PRG,CEPEA
2006-05-12,15.02,7.01,MILHO,BRASIL,CEPEA
2006-05-12,26.53,12.37,SOJA,PR,CEPEA
2006-05-12,28.88,13.47,SOJA,PRG,CEPEA
2006-05-15,15.05,6.88,MILHO,BRASIL,CEPEA
2006-05-15,26.52,12.13,SOJA,PR,CEPEA
2006-05-15,28.83,13.19,SOJA,PRG,CEPEA
2006-05-16,15.00,7.02,MILHO,BRASIL,CEPEA
2006-05-16,26.42,12.37,SOJA,PR,CEPEA
2006-05-16,28.30,13.25,SOJA,PRG,CEPEA
2006-05-17,15.09,6.85,MILHO,BRASIL,CEPEA
2006-05-17,26.56,12.05,SOJA,PR,CEPEA
2006-05-17,29.03,13.17,SOJA,PRG,CEPEA
2006-05-18,15.12,6.95,MILHO,BRASIL,CEPEA
2006-05-18,26.76,12.30,SOJA,PR,CEPEA
2006-05-18,29.05,13.36,SOJA,PRG,CEPEA
2006-05-19,15.05,6.82,MILHO,BRASIL,CEPEA
2006-05-19,26.32,11.92,SOJA,PR,CEPEA
2006-05-19,28.61,12.96,SOJA,PRG,CEPEA
2006-05-22,15.10,6.60,MILHO,BRASIL,CEPEA
2006-05-22,26.84,11.73,SOJA,PR,CEPEA
2006-05-22,29.40,12.84,SOJA,PRG,CEPEA
2006-05-23,15.29,6.67,MILHO,BRASIL,CEPEA
2006-05-23,26.99,11.77,SOJA,PR,CEPEA
2006-05-23,29.23,12.75,SOJA,PRG,CEPEA
2006-05-24,15.48,6.63,MILHO,BRASIL,CEPEA
2006-05-24,27.95,11.65,SOJA,PR,CEPEA
2006-05-24,30.26,12.61,SOJA,PRG,CEPEA
2006-05-25,15.58,6.79,MILHO,BRASIL,CEPEA
2006-05-25,27.56,12.01,SOJA,PR,CEPEA
2006-05-25,29.63,12.91,SOJA,PRG,CEPEA
2006-05-26,15.60,6.96,MILHO,BRASIL,CEPEA
2006-05-26,27.06,12.08,SOJA,PR,CEPEA
2006-05-26,29.04,12.96,SOJA,PRG,CEPEA
2006-05-29,15.59,6.85,MILHO,BRASIL,CEPEA
2006-05-29,26.83,11.79,SOJA,PR,CEPEA
2006-05-29,28.74,12.63,SOJA,PRG,CEPEA
2006-05-30,15.57,6.74,MILHO,BRASIL,CEPEA
2006-05-30,27.81,12.04,SOJA,PR,CEPEA
2006-05-30,30.14,13.05,SOJA,PRG,CEPEA
2006-05-31,15.69,6.76,MILHO,BRASIL,CEPEA
2006-05-31,27.50,11.84,SOJA,PR,CEPEA
2006-05-31,29.50,12.70,SOJA,PRG,CEPEA
2006-06-01,15.73,6.98,MILHO,BRASIL,CEPEA
2006-06-01,27.33,12.13,SOJA,PR,CEPEA
2006-06-01,29.28,13.00,SOJA,PRG,CEPEA
2006-06-02,15.99,7.02,MILHO,BRASIL,CEPEA
2006-06-02,27.85,12.23,SOJA,PR,CEPEA
2006-06-02,29.97,13.16,SOJA,PRG,CEPEA
2006-06-05,16.04,7.13,MILHO,BRASIL,CEPEA
2006-06-05,27.91,12.40,SOJA,PR,CEPEA
2006-06-05,30.02,13.34,SOJA,PRG,CEPEA
2006-06-06,16.06,7.11,MILHO,BRASIL,CEPEA
2006-06-06,27.83,12.33,SOJA,PR,CEPEA
2006-06-06,29.84,13.22,SOJA,PRG,CEPEA
2006-06-07,16.19,7.23,MILHO,BRASIL,CEPEA
2006-06-07,27.67,12.35,SOJA,PR,CEPEA
2006-06-08,16.32,7.18,MILHO,BRASIL,CEPEA
2006-06-08,27.59,12.15,SOJA,PR,CEPEA
2006-06-09,16.39,7.25,MILHO,BRASIL,CEPEA
2006-06-09,27.57,12.19,SOJA,PR,CEPEA
2006-06-09,29.30,12.96,SOJA,PRG,CEPEA
2006-06-12,16.28,7.11,MILHO,BRASIL,CEPEA
2006-06-12,28.04,12.24,SOJA,PR,CEPEA
2006-06-12,30.00,13.10,SOJA,PRG,CEPEA
2006-06-13,16.31,7.08,MILHO,BRASIL,CEPEA
2006-06-13,28.36,12.31,SOJA,PR,CEPEA
2006-06-13,30.26,13.14,SOJA,PRG,CEPEA
2006-06-14,16.56,7.26,MILHO,BRASIL,CEPEA
2006-06-14,28.21,12.36,SOJA,PR,CEPEA
2006-06-14,29.88,13.10,SOJA,PRG,CEPEA
2006-06-16,16.56,7.38,MILHO,BRASIL,CEPEA
2006-06-16,28.16,12.54,SOJA,PR,CEPEA
2006-06-16,29.84,13.29,SOJA,PRG,CEPEA
2006-06-19,16.60,7.37,MILHO,BRASIL,CEPEA
2006-06-19,27.42,12.17,SOJA,PR,CEPEA
2006-06-19,28.94,12.84,SOJA,PRG,CEPEA
2006-06-20,16.58,7.38,MILHO,BRASIL,CEPEA
2006-06-20,27.37,12.19,SOJA,PR,CEPEA
2006-06-20,29.18,12.99,SOJA,PRG,CEPEA
2006-06-21,16.79,7.52,MILHO,BRASIL,CEPEA
2006-06-21,27.38,12.27,SOJA,PR,CEPEA
2006-06-21,29.19,13.08,SOJA,PRG,CEPEA
2006-06-22,16.78,7.48,MILHO,BRASIL,CEPEA
2006-06-22,27.44,12.23,SOJA,PR,CEPEA
2006-06-22,29.25,13.04,SOJA,PRG,CEPEA
2006-06-23,16.78,7.53,MILHO,BRASIL,CEPEA
2006-06-23,27.42,12.30,SOJA,PR,CEPEA
2006-06-23,29.19,13.09,SOJA,PRG,CEPEA
2006-06-26,16.67,7.47,MILHO,BRASIL,CEPEA
2006-06-26,26.88,12.05,SOJA,PR,CEPEA
2006-06-26,28.55,12.80,SOJA,PRG,CEPEA
2006-06-27,16.74,7.48,MILHO,BRASIL,CEPEA
2006-06-27,26.99,12.06,SOJA,PR,CEPEA
2006-06-27,28.76,12.85,SOJA,PRG,CEPEA
2006-06-28,16.81,7.57,MILHO,BRASIL,CEPEA
2006-06-28,27.30,12.30,SOJA,PR,CEPEA
2006-06-28,29.16,13.14,SOJA,PRG,CEPEA
2006-06-29,16.85,7.75,MILHO,BRASIL,CEPEA
2006-06-29,27.27,12.55,SOJA,PR,CEPEA
2006-06-29,29.04,13.37,SOJA,PRG,CEPEA
2006-06-30,16.84,7.78,MILHO,BRASIL,CEPEA
2006-06-30,27.46,12.68,SOJA,PR,CEPEA
2006-06-30,29.17,13.47,SOJA,PRG,CEPEA
2006-07-03,16.86,7.74,MILHO,BRASIL,CEPEA
2006-07-03,27.41,12.57,SOJA,PR,CEPEA
2006-07-03,29.39,13.48,SOJA,PRG,CEPEA
2006-07-04,16.86,7.77,MILHO,BRASIL,CEPEA
2006-07-04,27.51,12.68,SOJA,PR,CEPEA
2006-07-04,29.57,13.63,SOJA,PRG,CEPEA
2006-07-05,16.87,7.67,MILHO,BRASIL,CEPEA
2006-07-05,27.72,12.60,SOJA,PR,CEPEA
2006-07-05,29.46,13.39,SOJA,PRG,CEPEA
2006-07-06,16.87,7.75,MILHO,BRASIL,CEPEA
2006-07-06,28.04,12.89,SOJA,PR,CEPEA
2006-07-06,29.90,13.75,SOJA,PRG,CEPEA
2006-07-07,16.84,7.72,MILHO,BRASIL,CEPEA
2006-07-07,27.67,12.68,SOJA,PR,CEPEA
2006-07-07,29.49,13.52,SOJA,PRG,CEPEA
2006-07-10,16.87,7.74,MILHO,BRASIL,CEPEA
2006-07-10,27.96,12.83,SOJA,PR,CEPEA
2006-07-10,29.54,13.55,SOJA,PRG,CEPEA
2006-07-11,16.92,7.74,MILHO,BRASIL,CEPEA
2006-07-11,28.15,12.88,SOJA,PR,CEPEA
2006-07-11,30.08,13.77,SOJA,PRG,CEPEA
2006-07-12,16.96,7.71,MILHO,BRASIL,CEPEA
2006-07-12,27.95,12.70,SOJA,PR,CEPEA
2006-07-12,29.74,13.52,SOJA,PRG,CEPEA
2006-07-13,16.93,7.63,MILHO,BRASIL,CEPEA
2006-07-13,27.96,12.59,SOJA,PR,CEPEA
2006-07-13,29.76,13.40,SOJA,PRG,CEPEA
2006-07-14,16.87,7.62,MILHO,BRASIL,CEPEA
2006-07-14,28.10,12.70,SOJA,PR,CEPEA
2006-07-14,29.90,13.51,SOJA,PRG,CEPEA
2006-07-17,16.86,7.65,MILHO,BRASIL,CEPEA
2006-07-17,27.85,12.63,SOJA,PR,CEPEA
2006-07-17,29.42,13.34,SOJA,PRG,CEPEA
2006-07-18,16.87,7.69,MILHO,BRASIL,CEPEA
2006-07-18,27.58,12.58,SOJA,PR,CEPEA
2006-07-18,29.51,13.46,SOJA,PRG,CEPEA
2006-07-19,16.78,7.71,MILHO,BRASIL,CEPEA
2006-07-19,27.40,12.59,SOJA,PR,CEPEA
2006-07-19,29.35,13.48,SOJA,PRG,CEPEA
2006-07-20,16.59,7.57,MILHO,BRASIL,CEPEA
2006-07-20,27.38,12.48,SOJA,PR,CEPEA
2006-07-20,29.38,13.39,SOJA,PRG,CEPEA
2006-07-21,16.51,7.51,MILHO,BRASIL,CEPEA
2006-07-21,27.24,12.39,SOJA,PR,CEPEA
2006-07-21,29.35,13.35,SOJA,PRG,CEPEA
2006-07-24,16.53,7.54,MILHO,BRASIL,CEPEA
2006-07-24,27.41,12.50,SOJA,PR,CEPEA
2006-07-24,29.37,13.40,SOJA,PRG,CEPEA
2006-07-25,16.44,7.46,MILHO,BRASIL,CEPEA
2006-07-25,28.10,12.76,SOJA,PR,CEPEA
2006-07-25,29.95,13.60,SOJA,PRG,CEPEA
2006-07-26,16.35,7.47,MILHO,BRASIL,CEPEA
2006-07-26,28.06,12.81,SOJA,PR,CEPEA
2006-07-26,30.14,13.76,SOJA,PRG,CEPEA
2006-07-27,16.30,7.44,MILHO,BRASIL,CEPEA
2006-07-27,27.76,12.67,SOJA,PR,CEPEA
2006-07-27,29.50,13.46,SOJA,PRG,CEPEA
2006-07-28,16.20,7.45,MILHO,BRASIL,CEPEA
2006-07-28,27.55,12.67,SOJA,PR,CEPEA
2006-07-28,29.49,13.57,SOJA,PRG,CEPEA
2006-07-31,16.21,7.45,MILHO,BRASIL,CEPEA
2006-07-31,27.58,12.67,SOJA,PR,CEPEA
2006-07-31,29.30,13.47,SOJA,PRG,CEPEA
2006-08-01,16.24,7.41,MILHO,BRASIL,CEPEA
2006-08-01,27.56,12.58,SOJA,PR,CEPEA
2006-08-01,29.27,13.36,SOJA,PRG,CEPEA
2006-08-02,16.36,7.50,MILHO,BRASIL,CEPEA
2006-08-02,27.75,12.72,SOJA,PR,CEPEA
2006-08-02,29.83,13.68,SOJA,PRG,CEPEA
2006-08-03,16.34,7.51,MILHO,BRASIL,CEPEA
2006-08-03,27.73,12.74,SOJA,PR,CEPEA
2006-08-03,29.56,13.58,SOJA,PRG,CEPEA
2006-08-04,16.36,7.49,MILHO,BRASIL,CEPEA
2006-08-04,27.74,12.70,SOJA,PR,CEPEA
2006-08-04,29.76,13.63,SOJA,PRG,CEPEA
2006-08-07,16.36,7.49,MILHO,BRASIL,CEPEA
2006-08-07,27.38,12.53,SOJA,PR,CEPEA
2006-08-07,29.15,13.34,SOJA,PRG,CEPEA
2006-08-08,16.30,7.49,MILHO,BRASIL,CEPEA
2006-08-08,27.31,12.54,SOJA,PR,CEPEA
2006-08-08,29.14,13.38,SOJA,PRG,CEPEA
2006-08-09,16.69,7.70,MILHO,BRASIL,CEPEA
2006-08-09,27.35,12.61,SOJA,PR,CEPEA
2006-08-09,29.01,13.38,SOJA,PRG,CEPEA
2006-08-10,16.81,7.78,MILHO,BRASIL,CEPEA
2006-08-10,27.44,12.70,SOJA,PR,CEPEA
2006-08-10,29.05,13.45,SOJA,PRG,CEPEA
2006-08-11,16.78,7.75,MILHO,BRASIL,CEPEA
2006-08-11,27.34,12.63,SOJA,PR,CEPEA
2006-08-11,29.01,13.40,SOJA,PRG,CEPEA
2006-08-14,16.91,7.82,MILHO,BRASIL,CEPEA
2006-08-14,27.20,12.58,SOJA,PR,CEPEA
2006-08-14,29.03,13.43,SOJA,PRG,CEPEA
2006-08-15,16.95,7.92,MILHO,BRASIL,CEPEA
2006-08-15,27.22,12.71,SOJA,PR,CEPEA
2006-08-15,28.95,13.52,SOJA,PRG,CEPEA
2006-08-16,17.02,7.96,MILHO,BRASIL,CEPEA
2006-08-16,27.16,12.70,SOJA,PR,CEPEA
2006-08-16,28.56,13.36,SOJA,PRG,CEPEA
2006-08-17,17.03,7.96,MILHO,BRASIL,CEPEA
2006-08-17,26.96,12.59,SOJA,PR,CEPEA
2006-08-17,28.57,13.35,SOJA,PRG,CEPEA
2006-08-18,17.05,7.94,MILHO,BRASIL,CEPEA
2006-08-18,26.83,12.50,SOJA,PR,CEPEA
2006-08-18,28.49,13.27,SOJA,PRG,CEPEA
2006-08-21,17.13,8.04,MILHO,BRASIL,CEPEA
2006-08-21,27.01,12.67,SOJA,PR,CEPEA
2006-08-21,28.49,13.36,SOJA,PRG,CEPEA
2006-08-22,17.24,8.06,MILHO,BRASIL,CEPEA
2006-08-22,26.98,12.62,SOJA,PR,CEPEA
2006-08-22,28.37,13.27,SOJA,PRG,CEPEA
2006-08-23,17.17,7.98,MILHO,BRASIL,CEPEA
2006-08-23,27.20,12.64,SOJA,PR,CEPEA
2006-08-23,28.82,13.39,SOJA,PRG,CEPEA
2006-08-24,17.17,7.97,MILHO,BRASIL,CEPEA
2006-08-24,27.44,12.74,SOJA,PR,CEPEA
2006-08-24,28.89,13.41,SOJA,PRG,CEPEA
2006-08-25,17.15,7.95,MILHO,BRASIL,CEPEA
2006-08-25,27.34,12.68,SOJA,PR,CEPEA
2006-08-25,28.66,13.29,SOJA,PRG,CEPEA
2006-08-28,17.20,8.04,MILHO,BRASIL,CEPEA
2006-08-28,27.17,12.70,SOJA,PR,CEPEA
2006-08-28,28.37,13.26,SOJA,PRG,CEPEA
2006-08-29,17.15,8.02,MILHO,BRASIL,CEPEA
2006-08-29,27.17,12.71,SOJA,PR,CEPEA
2006-08-29,28.50,13.33,SOJA,PRG,CEPEA
2006-08-30,17.21,8.05,MILHO,BRASIL,CEPEA
2006-08-30,27.22,12.73,SOJA,PR,CEPEA
2006-08-30,28.71,13.43,SOJA,PRG,CEPEA
2006-08-31,17.13,7.98,MILHO,BRASIL,CEPEA
2006-08-31,27.37,12.76,SOJA,PR,CEPEA
2006-08-31,28.80,13.43,SOJA,PRG,CEPEA
2006-09-01,17.16,8.02,MILHO,BRASIL,CEPEA
2006-09-01,27.55,12.88,SOJA,PR,CEPEA
2006-09-01,28.65,13.40,SOJA,PRG,CEPEA
2006-09-04,17.17,8.09,MILHO,BRASIL,CEPEA
2006-09-04,27.52,12.96,SOJA,PR,CEPEA
2006-09-04,28.58,13.46,SOJA,PRG,CEPEA
2006-09-05,17.19,8.06,MILHO,BRASIL,CEPEA
2006-09-05,27.49,12.90,SOJA,PR,CEPEA
2006-09-05,28.69,13.46,SOJA,PRG,CEPEA
2006-09-06,17.19,7.99,MILHO,BRASIL,CEPEA
2006-09-06,27.66,12.85,SOJA,PR,CEPEA
2006-09-06,28.89,13.42,SOJA,PRG,CEPEA
2006-09-08,17.28,8.00,MILHO,BRASIL,CEPEA
2006-09-08,27.87,12.91,SOJA,PR,CEPEA
2006-09-08,29.03,13.45,SOJA,PRG,CEPEA
2006-09-11,17.34,7.97,MILHO,BRASIL,CEPEA
2006-09-11,27.81,12.78,SOJA,PR,CEPEA
2006-09-11,28.84,13.25,SOJA,PRG,CEPEA
2006-09-12,17.37,8.01,MILHO,BRASIL,CEPEA
2006-09-12,27.85,12.85,SOJA,PR,CEPEA
2006-09-12,28.79,13.28,SOJA,PRG,CEPEA
2006-09-13,17.62,8.16,MILHO,BRASIL,CEPEA
2006-09-13,27.92,12.94,SOJA,PR,CEPEA
2006-09-13,29.08,13.47,SOJA,PRG,CEPEA
2006-09-14,17.66,8.16,MILHO,BRASIL,CEPEA
2006-09-14,27.87,12.88,SOJA,PR,CEPEA
2006-09-14,28.82,13.33,SOJA,PRG,CEPEA
2006-09-15,17.83,8.29,MILHO,BRASIL,CEPEA
2006-09-15,28.06,13.04,SOJA,PR,CEPEA
2006-09-15,28.87,13.42,SOJA,PRG,CEPEA
2006-09-18,18.17,8.47,MILHO,BRASIL,CEPEA
2006-09-18,27.93,13.01,SOJA,PR,CEPEA
2006-09-18,28.84,13.43,SOJA,PRG,CEPEA
2006-09-19,18.19,8.41,MILHO,BRASIL,CEPEA
2006-09-19,28.03,12.96,SOJA,PR,CEPEA
2006-09-19,28.86,13.34,SOJA,PRG,CEPEA
2006-09-20,18.37,8.44,MILHO,BRASIL,CEPEA
2006-09-20,28.33,13.01,SOJA,PR,CEPEA
2006-09-20,29.33,13.47,SOJA,PRG,CEPEA
2006-09-21,18.43,8.34,MILHO,BRASIL,CEPEA
2006-09-21,28.64,12.96,SOJA,PR,CEPEA
2006-09-21,29.54,13.37,SOJA,PRG,CEPEA
2006-09-22,18.46,8.37,MILHO,BRASIL,CEPEA
2006-09-22,28.68,13.00,SOJA,PR,CEPEA
2006-09-22,29.58,13.40,SOJA,PRG,CEPEA
2006-09-25,18.40,8.29,MILHO,BRASIL,CEPEA
2006-09-25,28.53,12.86,SOJA,PR,CEPEA
2006-09-25,29.47,13.28,SOJA,PRG,CEPEA
2006-09-26,18.47,8.42,MILHO,BRASIL,CEPEA
2006-09-26,28.58,13.03,SOJA,PR,CEPEA
2006-09-26,29.38,13.40,SOJA,PRG,CEPEA
2006-09-27,18.71,8.56,MILHO,BRASIL,CEPEA
2006-09-27,28.54,13.05,SOJA,PR,CEPEA
2006-09-27,29.47,13.48,SOJA,PRG,CEPEA
2006-09-28,18.91,8.70,MILHO,BRASIL,CEPEA
2006-09-28,28.72,13.22,SOJA,PR,CEPEA
2006-09-28,29.65,13.65,SOJA,PRG,CEPEA
2006-09-29,18.93,8.72,MILHO,BRASIL,CEPEA
2006-09-29,28.65,13.20,SOJA,PR,CEPEA
2006-09-29,29.62,13.64,SOJA,PRG,CEPEA
2006-10-02,19.39,8.98,MILHO,BRASIL,CEPEA
2006-10-02,28.78,13.34,SOJA,PR,CEPEA
2006-10-02,29.66,13.75,SOJA,PRG,CEPEA
2006-10-03,19.73,9.08,MILHO,BRASIL,CEPEA
2006-10-03,28.86,13.27,SOJA,PR,CEPEA
2006-10-03,30.04,13.82,SOJA,PRG,CEPEA
2006-10-04,19.85,9.18,MILHO,BRASIL,CEPEA
2006-10-04,29.04,13.43,SOJA,PR,CEPEA
2006-10-04,30.55,14.13,SOJA,PRG,CEPEA
2006-10-05,19.95,9.24,MILHO,BRASIL,CEPEA
2006-10-05,29.44,13.64,SOJA,PR,CEPEA
2006-10-05,30.66,14.20,SOJA,PRG,CEPEA
2006-10-06,20.66,9.55,MILHO,BRASIL,CEPEA
2006-10-06,29.48,13.63,SOJA,PR,CEPEA
2006-10-06,30.37,14.04,SOJA,PRG,CEPEA
2006-10-09,20.96,9.72,MILHO,BRASIL,CEPEA
2006-10-09,29.85,13.84,SOJA,PR,CEPEA
2006-10-09,31.00,14.38,SOJA,PRG,CEPEA
2006-10-10,21.00,9.75,MILHO,BRASIL,CEPEA
2006-10-10,29.87,13.87,SOJA,PR,CEPEA
2006-10-10,30.98,14.39,SOJA,PRG,CEPEA
2006-10-11,21.18,9.82,MILHO,BRASIL,CEPEA
2006-10-11,29.98,13.89,SOJA,PR,CEPEA
2006-10-11,31.09,14.41,SOJA,PRG,CEPEA
2006-10-13,21.40,10.01,MILHO,BRASIL,CEPEA
2006-10-13,30.42,14.24,SOJA,PR,CEPEA
2006-10-13,30.99,14.50,SOJA,PRG,CEPEA
2006-10-16,21.51,10.10,MILHO,BRASIL,CEPEA
2006-10-16,30.30,14.22,SOJA,PR,CEPEA
2006-10-16,31.05,14.58,SOJA,PRG,CEPEA
2006-10-17,21.53,10.10,MILHO,BRASIL,CEPEA
2006-10-17,30.73,14.42,SOJA,PR,CEPEA
2006-10-17,31.86,14.95,SOJA,PRG,CEPEA
2006-10-18,21.52,10.07,MILHO,BRASIL,CEPEA
2006-10-18,30.93,14.47,SOJA,PR,CEPEA
2006-10-18,32.94,15.41,SOJA,PRG,CEPEA
2006-10-19,21.91,10.23,MILHO,BRASIL,CEPEA
2006-10-19,31.29,14.61,SOJA,PR,CEPEA
2006-10-19,33.39,15.59,SOJA,PRG,CEPEA
2006-10-20,22.02,10.29,MILHO,BRASIL,CEPEA
2006-10-20,31.42,14.68,SOJA,PR,CEPEA
